,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
224,291,4,2022,tay ho,2.6,67.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
225,292,4,2022,south tu liem,3.8,64.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
226,293,4,2022,thanh tri,2.55,95.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
227,294,4,2022,thanh tri,2.58,88.8,can ho chung cu,11.0,2.0,12.5,2.0,1.0,So hong
228,295,4,2022,ha dong,1.7,64.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
229,297,4,2022,tay ho,4.3,99.0,can ho chung cu,5.0,2.0,40.0,3.0,1.0,KXĐ
230,298,4,2022,tay ho,4.3,99.0,can ho chung cu,5.0,2.0,40.0,3.0,1.0,KXĐ
231,300,4,2022,thanh xuan,2.45,70.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
232,301,4,2022,cau giay,3.4,91.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
233,302,4,2022,south tu liem,2.15,70.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
234,303,4,2022,south tu liem,2.7,74.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
235,304,4,2022,north tu liem,6.7,105.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,KXĐ
236,305,4,2022,hoang mai,7.7,150.0,can ho chung cu,1.0,2.0,17.5,4.0,2.0,So hong
237,306,4,2022,south tu liem,3.567,91.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
238,307,4,2022,thanh xuan,5.5,136.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,KXĐ
239,308,4,2022,ba dinh,31.0,310.0,can ho chung cu,5.0,3.0,12.5,3.0,1.0,KXĐ
240,309,4,2022,ba dinh,13.5,330.0,can ho chung cu,5.0,4.0,12.5,4.0,1.0,KXĐ
241,310,4,2022,gia lam,3.2,82.0,can ho chung cu,5.0,2.0,17.5,2.0,1.0,Giay đo
242,311,4,2022,gia lam,1.0,82.0,can ho chung cu,5.0,2.0,25.0,3.0,1.0,Giay đo
243,312,4,2022,tay ho,5.4,105.0,can ho chung cu,27.0,2.0,12.5,3.0,1.0,KXĐ
